Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0402_1005Metric,142.52,-45.0,180.0,top
C4,0.01uF,C_01005_0402Metric,139.725,-47.5,0.0,top
C6,1uF,C_0402_1005Metric,127.52,-50.5,180.0,top
C7,1uF,C_0402_1005Metric,136.0,-41.52,90.0,top
C8,10uF,C_0402_1005Metric,141.0,-45.0,90.0,top
R1,100k,BO_CR0603,157.1985,-48.0,180.0,top
R2,1k,BO_CR0603,144.3015,-33.0,0.0,top
R3,2k,BO_CR0603,130.3015,-37.5,0.0,top
R4,1k,BO_CR0603,132.8015,-39.5,180.0,top
R5,100k,BO_CR0603,156.1985,-40.5,180.0,top
R6,1k,BO_CR0603,131.8015,-50.5,0.0,top
R7,1k,BO_CR0603,140.3015,-33.0,180.0,top
S1,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,155.6625,-59.5,-90.0,top
U2,BQ24092DGQR,IC_XTR111AIDGQR,131.5,-44.6,-90.0,top
U3,DRV8833PWPR,IC_DRV8833PWPR,142.2,-38.5,-90.0,top
